op_index	op_name	op_type	output_index	type_code	type_bits	dimension_type	shape	elements	finite	min	max	mean	rms
0	/input_embed/proj/Add_output_0_raster_0	Raster	0	2	32	1	[2,1,80]	160	1	-1.98132	2.52897	0.0528996	0.9336
1	/input_embed/proj/Add_output_0_raster_1	Raster	0	2	32	1	[2,32,80]	5120	1	-1.98132	2.52897	0.0528996	0.9336
2	/input_embed/proj/Add_output_0_raster_2	Raster	0	2	32	1	[2,32,320]	20480	1	-3.69867	3.7786	0.0168986	0.853061
3	/input_embed/proj/Add_output_0	While	0	2	32	1	[2,32,1024]	65536	1	-38.2787	15.266	-0.0610305	1.8113
4	/input_embed/conv_pos_embed/conv1/conv1.0/Conv_output_0__group__0_raster_0	Raster	0	2	32	1	[2,64,62]	7936	1	-7.1885	4.59319	-0.124656	1.2631
5	/input_embed/conv_pos_embed/conv1/conv1.0/Conv_output_0__group__0	Convolution	0	2	32	1	[2,64,32]	4096	1	-87.1875	11.5745	-20.6336	28.0913
6	/input_embed/conv_pos_embed/conv1/conv1.0/Conv_output_0__group__1_raster_0	Raster	0	2	32	1	[2,64,62]	7936	1	-5.72846	5.58059	-0.0662788	1.08284
7	/input_embed/conv_pos_embed/conv1/conv1.0/Conv_output_0__group__1	Convolution	0	2	32	1	[2,64,32]	4096	1	-58.4856	7.84234	-7.64506	11.5437
8	/input_embed/conv_pos_embed/conv1/conv1.0/Conv_output_0__group__2_raster_0	Raster	0	2	32	1	[2,64,62]	7936	1	-10.9294	5.70672	-0.0629626	1.39073
9	/input_embed/conv_pos_embed/conv1/conv1.0/Conv_output_0__group__2	Convolution	0	2	32	1	[2,64,32]	4096	1	-89.6788	10.2662	-23.8192	28.1958
10	/input_embed/conv_pos_embed/conv1/conv1.0/Conv_output_0__group__3_raster_0	Raster	0	2	32	1	[2,64,62]	7936	1	-5.69406	5.23937	-0.00891499	0.931523
11	/input_embed/conv_pos_embed/conv1/conv1.0/Conv_output_0__group__3	Convolution	0	2	32	1	[2,64,32]	4096	1	-35.5511	10.4954	-4.22451	7.28601
12	/input_embed/conv_pos_embed/conv1/conv1.0/Conv_output_0__group__4_raster_0	Raster	0	2	32	1	[2,64,62]	7936	1	-7.72815	8.65826	-0.139308	1.43561
13	/input_embed/conv_pos_embed/conv1/conv1.0/Conv_output_0__group__4	Convolution	0	2	32	1	[2,64,32]	4096	1	-80.2105	11.8613	-13.0838	19.3196
14	/input_embed/conv_pos_embed/conv1/conv1.0/Conv_output_0__group__5_raster_0	Raster	0	2	32	1	[2,64,62]	7936	1	-38.2787	15.266	-0.00936587	2.22396
15	/input_embed/conv_pos_embed/conv1/conv1.0/Conv_output_0__group__5	Convolution	0	2	32	1	[2,64,32]	4096	1	-152.641	5.23277	-34.6526	48.9295
16	/input_embed/conv_pos_embed/conv1/conv1.0/Conv_output_0__group__6_raster_0	Raster	0	2	32	1	[2,64,62]	7936	1	-5.95897	7.7764	0.0918245	1.06274
17	/input_embed/conv_pos_embed/conv1/conv1.0/Conv_output_0__group__6	Convolution	0	2	32	1	[2,64,32]	4096	1	-73.6126	5.26218	-22.9758	28.7135
18	/input_embed/conv_pos_embed/conv1/conv1.0/Conv_output_0__group__7_raster_0	Raster	0	2	32	1	[2,64,62]	7936	1	-4.6865	7.83311	0.0303025	1.05971
19	/input_embed/conv_pos_embed/conv1/conv1.0/Conv_output_0__group__7	Convolution	0	2	32	1	[2,64,32]	4096	1	-37.0011	5.17785	-7.00814	10.4496
20	/input_embed/conv_pos_embed/conv1/conv1.0/Conv_output_0__group__8_raster_0	Raster	0	2	32	1	[2,64,62]	7936	1	-5.66995	7.48484	0.119577	1.36782
21	/input_embed/conv_pos_embed/conv1/conv1.0/Conv_output_0__group__8	Convolution	0	2	32	1	[2,64,32]	4096	1	-27.2698	12.4894	-5.29487	7.495
22	/input_embed/conv_pos_embed/conv1/conv1.0/Conv_output_0__group__9_raster_0	Raster	0	2	32	1	[2,64,62]	7936	1	-6.76439	4.65701	-0.0827553	1.01944
23	/input_embed/conv_pos_embed/conv1/conv1.0/Conv_output_0__group__9	Convolution	0	2	32	1	[2,64,32]	4096	1	-43.6369	4.51891	-4.74355	7.93341
24	/input_embed/conv_pos_embed/conv1/conv1.0/Conv_output_0__group__10_raster_0	Raster	0	2	32	1	[2,64,62]	7936	1	-14.1165	5.21807	-0.0539353	1.29611
25	/input_embed/conv_pos_embed/conv1/conv1.0/Conv_output_0__group__10	Convolution	0	2	32	1	[2,64,32]	4096	1	-114.92	12.7199	-21.2463	30.4495
26	/input_embed/conv_pos_embed/conv1/conv1.0/Conv_output_0__group__11_raster_0	Raster	0	2	32	1	[2,64,62]	7936	1	-13.3784	5.7594	-0.0945685	1.34207
27	/input_embed/conv_pos_embed/conv1/conv1.0/Conv_output_0__group__11	Convolution	0	2	32	1	[2,64,32]	4096	1	-100.936	22.217	-16.1777	24.8253
28	/input_embed/conv_pos_embed/conv1/conv1.0/Conv_output_0__group__12_raster_0	Raster	0	2	32	1	[2,64,62]	7936	1	-6.16383	4.65222	-0.0715338	1.16327
29	/input_embed/conv_pos_embed/conv1/conv1.0/Conv_output_0__group__12	Convolution	0	2	32	1	[2,64,32]	4096	1	-92.7697	11.751	-18.3089	23.7995
30	/input_embed/conv_pos_embed/conv1/conv1.0/Conv_output_0__group__13_raster_0	Raster	0	2	32	1	[2,64,62]	7936	1	-5.64778	4.63436	0.0132775	1.10223
31	/input_embed/conv_pos_embed/conv1/conv1.0/Conv_output_0__group__13	Convolution	0	2	32	1	[2,64,32]	4096	1	-68.9587	20.2289	-6.90014	13.6951
32	/input_embed/conv_pos_embed/conv1/conv1.0/Conv_output_0__group__14_raster_0	Raster	0	2	32	1	[2,64,62]	7936	1	-8.39643	5.57308	-0.125362	1.36092
33	/input_embed/conv_pos_embed/conv1/conv1.0/Conv_output_0__group__14	Convolution	0	2	32	1	[2,64,32]	4096	1	-93.4635	41.4075	-11.3652	24.7552
34	/input_embed/conv_pos_embed/conv1/conv1.0/Conv_output_0__group__15_raster_0	Raster	0	2	32	1	[2,64,62]	7936	1	-6.59976	7.13611	0.0806645	1.20521
35	/input_embed/conv_pos_embed/conv1/conv1.0/Conv_output_0__group__15	Convolution	0	2	32	1	[2,64,32]	4096	1	-52.3195	28.4265	-5.75382	13.5231
36	UnaryOp71_raster_0	Raster	0	2	32	1	[2,1024,32]	65536	1	-152.641	41.4075	-13.9896	23.2966
37	UnaryOp71	UnaryOp	0	2	32	1	[2,1024,32]	65536	1	1.64582e-38	9.61749e+17	2.25893e+13	3.96143e+15
38	BinaryOp73	BinaryOp	0	2	32	1	[2,1024,32]	65536	1	1	9.61749e+17	2.25893e+13	3.96143e+15
39	/input_embed/conv_pos_embed/conv1/conv1.1/Softplus_output_0	UnaryOp	0	2	32	1	[2,1024,32]	65536	1	0	41.4075	0.51266	1.96247
40	/input_embed/conv_pos_embed/conv1/conv1.1/Tanh_output_0	UnaryOp	0	2	32	1	[2,1024,32]	65536	1	0	1	0.169727	0.346237
41	/input_embed/conv_pos_embed/conv1/conv1.1/Mul_output_0	BinaryOp	0	2	32	1	[2,1024,32]	65536	1	-0.308844	41.4075	0.353145	1.9447
42	/input_embed/conv_pos_embed/conv2/conv2.0/Conv_output_0__group__0_raster_0	Raster	0	2	32	1	[2,64,62]	7936	1	-0.308829	11.5745	0.0521095	0.553955
43	/input_embed/conv_pos_embed/conv2/conv2.0/Conv_output_0__group__0	Convolution	0	2	32	1	[2,64,32]	4096	1	-35.1906	6.52175	-0.618474	2.27837
44	/input_embed/conv_pos_embed/conv2/conv2.0/Conv_output_0__group__1_raster_0	Raster	0	2	32	1	[2,64,62]	7936	1	-0.308843	7.84234	0.0279498	0.481183
45	/input_embed/conv_pos_embed/conv2/conv2.0/Conv_output_0__group__1	Convolution	0	2	32	1	[2,64,32]	4096	1	-18.8101	12.7865	-4.20534	5.94068
46	/input_embed/conv_pos_embed/conv2/conv2.0/Conv_output_0__group__2_raster_0	Raster	0	2	32	1	[2,64,62]	7936	1	-0.308843	10.2662	0.0335004	0.50014
47	/input_embed/conv_pos_embed/conv2/conv2.0/Conv_output_0__group__2	Convolution	0	2	32	1	[2,64,32]	4096	1	-7.88849	5.88707	-1.1758	1.70211
48	/input_embed/conv_pos_embed/conv2/conv2.0/Conv_output_0__group__3_raster_0	Raster	0	2	32	1	[2,64,62]	7936	1	-0.308843	10.4954	0.0504892	0.650605
49	/input_embed/conv_pos_embed/conv2/conv2.0/Conv_output_0__group__3	Convolution	0	2	32	1	[2,64,32]	4096	1	-77.1508	20.4295	-3.13673	5.81147
50	/input_embed/conv_pos_embed/conv2/conv2.0/Conv_output_0__group__4_raster_0	Raster	0	2	32	1	[2,64,62]	7936	1	-0.308839	11.8613	0.121458	0.821272
51	/input_embed/conv_pos_embed/conv2/conv2.0/Conv_output_0__group__4	Convolution	0	2	32	1	[2,64,32]	4096	1	-25.4626	21.3299	-2.78652	4.94874
52	/input_embed/conv_pos_embed/conv2/conv2.0/Conv_output_0__group__5_raster_0	Raster	0	2	32	1	[2,64,62]	7936	1	-0.308843	5.23247	0.0097312	0.241987
53	/input_embed/conv_pos_embed/conv2/conv2.0/Conv_output_0__group__5	Convolution	0	2	32	1	[2,64,32]	4096	1	-6.72302	11.781	-1.02959	1.94582
54	/input_embed/conv_pos_embed/conv2/conv2.0/Conv_output_0__group__6_raster_0	Raster	0	2	32	1	[2,64,62]	7936	1	-0.308843	5.2619	0.00566286	0.21084
55	/input_embed/conv_pos_embed/conv2/conv2.0/Conv_output_0__group__6	Convolution	0	2	32	1	[2,64,32]	4096	1	-7.17277	3.8791	-1.28145	1.66777
56	/input_embed/conv_pos_embed/conv2/conv2.0/Conv_output_0__group__7_raster_0	Raster	0	2	32	1	[2,64,62]	7936	1	-0.308843	5.17753	-0.0286845	0.275784
57	/input_embed/conv_pos_embed/conv2/conv2.0/Conv_output_0__group__7	Convolution	0	2	32	1	[2,64,32]	4096	1	-13.971	15.6001	-2.52363	4.05328
58	/input_embed/conv_pos_embed/conv2/conv2.0/Conv_output_0__group__8_raster_0	Raster	0	2	32	1	[2,64,62]	7936	1	-0.308843	12.4894	0.0197136	0.595254
59	/input_embed/conv_pos_embed/conv2/conv2.0/Conv_output_0__group__8	Convolution	0	2	32	1	[2,64,32]	4096	1	-30.1519	22.3736	-2.06137	3.92373
60	/input_embed/conv_pos_embed/conv2/conv2.0/Conv_output_0__group__9_raster_0	Raster	0	2	32	1	[2,64,62]	7936	1	-0.308844	4.51786	-0.0962843	0.27856
61	/input_embed/conv_pos_embed/conv2/conv2.0/Conv_output_0__group__9	Convolution	0	2	32	1	[2,64,32]	4096	1	-15.9799	24.2984	-2.10631	7.70661
62	/input_embed/conv_pos_embed/conv2/conv2.0/Conv_output_0__group__10_raster_0	Raster	0	2	32	1	[2,64,62]	7936	1	-0.308842	12.7199	0.112252	0.878428
63	/input_embed/conv_pos_embed/conv2/conv2.0/Conv_output_0__group__10	Convolution	0	2	32	1	[2,64,32]	4096	1	-47.3492	13.5987	-9.70724	13.1794
64	/input_embed/conv_pos_embed/conv2/conv2.0/Conv_output_0__group__11_raster_0	Raster	0	2	32	1	[2,64,62]	7936	1	-0.308829	22.217	0.203863	1.33999
65	/input_embed/conv_pos_embed/conv2/conv2.0/Conv_output_0__group__11	Convolution	0	2	32	1	[2,64,32]	4096	1	-58.7789	21.1707	-13.4002	18.4449
66	/input_embed/conv_pos_embed/conv2/conv2.0/Conv_output_0__group__12_raster_0	Raster	0	2	32	1	[2,64,62]	7936	1	-0.30884	11.751	0.0397524	0.515782
67	/input_embed/conv_pos_embed/conv2/conv2.0/Conv_output_0__group__12	Convolution	0	2	32	1	[2,64,32]	4096	1	-101.4	20.3796	-1.13158	4.60353
68	/input_embed/conv_pos_embed/conv2/conv2.0/Conv_output_0__group__13_raster_0	Raster	0	2	32	1	[2,64,62]	7936	1	-0.308842	20.2289	0.353677	1.53719
69	/input_embed/conv_pos_embed/conv2/conv2.0/Conv_output_0__group__13	Convolution	0	2	32	1	[2,64,32]	4096	1	-75.9835	109.185	-0.629187	13.63
70	/input_embed/conv_pos_embed/conv2/conv2.0/Conv_output_0__group__14_raster_0	Raster	0	2	32	1	[2,64,62]	7936	1	-0.308842	41.4075	1.1016	3.80629
71	/input_embed/conv_pos_embed/conv2/conv2.0/Conv_output_0__group__14	Convolution	0	2	32	1	[2,64,32]	4096	1	-182.222	369.171	16.0091	52.9831
72	/input_embed/conv_pos_embed/conv2/conv2.0/Conv_output_0__group__15_raster_0	Raster	0	2	32	1	[2,64,62]	7936	1	-0.308843	28.4265	0.909507	3.00825
73	/input_embed/conv_pos_embed/conv2/conv2.0/Conv_output_0__group__15	Convolution	0	2	32	1	[2,64,32]	4096	1	-148.483	326.229	20.5794	51.7132
74	UnaryOp91_raster_0	Raster	0	2	32	1	[2,1024,32]	65536	1	-182.222	369.171	-0.575307	20.0028
75	UnaryOp91	UnaryOp	0	2	32	1	[2,1024,32]	65536	1	1.64582e-38	6.07601e+37	7.18242e+35	6.5784e+36
76	BinaryOp93	BinaryOp	0	2	32	1	[2,1024,32]	65536	1	1	6.07601e+37	7.18242e+35	6.5784e+36
77	/input_embed/conv_pos_embed/conv2/conv2.1/Softplus_output_0	UnaryOp	0	2	32	1	[2,1024,32]	65536	1	0	87	2.96456	12.622
78	/input_embed/conv_pos_embed/conv2/conv2.1/Tanh_output_0	UnaryOp	0	2	32	1	[2,1024,32]	65536	1	0	1	0.303743	0.45023
79	/input_embed/conv_pos_embed/conv2/conv2.1/Mul_output_0	BinaryOp	0	2	32	1	[2,1024,32]	65536	1	-0.308844	369.171	3.26421	18.1716
80	/input_embed/Add_output_0_raster_0	Raster	0	2	32	1	[2,32,1024]	65536	1	-0.308844	369.171	3.26421	18.1716
81	/input_embed/Add_output_0_raster_1	Raster	0	2	32	1	[2,32,1024]	65536	1	-0.308844	369.171	3.26421	18.1716
82	/input_embed/Add_output_0	BinaryOp	0	2	32	1	[2,32,1024]	65536	1	-38.587	367.605	3.20318	18.2305
83	/time_embed/time_embed/Mul_output_0_raster_0	Raster	0	2	32	1	[2,1]	2	1	0.5	0.5	0.5	0.5
84	/time_embed/time_embed/Mul_output_0	BinaryOp	0	2	32	1	[2,1]	2	1	500	500	500	500
85	/time_embed/time_embed/Mul_1_output_0_raster_0	Raster	0	2	32	1	[2,128]	256	1	500	500	500	500
86	/time_embed/time_embed/Mul_1_output_0_raster_1	Raster	0	2	32	1	[2,128]	256	1	0.0001	1	0.111668	0.240548
87	/time_embed/time_embed/Mul_1_output_0	BinaryOp	0	2	32	1	[2,128]	256	1	0.05	500	55.8342	120.274
88	/time_embed/time_embed/Sin_output_0	UnaryOp	0	2	32	1	[2,128]	256	1	-0.998164	0.998546	0.155903	0.616672
89	/time_embed/time_embed/Cos_output_0	UnaryOp	0	2	32	1	[2,128]	256	1	-0.999988	0.999958	0.286814	0.78722
90	/time_embed/Cast_output_0_raster_0	Raster	0	2	32	1	[2,256]	512	1	-0.999988	0.999958	0.221359	0.707107
91	/time_embed/Cast_output_0	Cast	0	2	32	1	[2,256]	512	1	-0.999988	0.999958	0.221359	0.707107
